image,country,count_boundary_pixels,count_parcel_pixels,count_background_pixels
AT_7801_S2_10m_256.nc,AT,2499,3205,62331
AT_4688_S2_10m_256.nc,AT,17581,33472,32064
NL_3391_S2_10m_256.nc,NL,13078,20778,44758
SE_13554_S2_10m_256.nc,SE,18710,22542,42994
NL_2259_S2_10m_256.nc,NL,18349,20388,45148
ES_1002_S2_10m_256.nc,ES,31518,43739,21797
AT_8571_S2_10m_256.nc,AT,23496,41572,23964
AT_7288_S2_10m_256.nc,AT,4174,5672,59864
AT_6775_S2_10m_256.nc,AT,13427,17413,48123
SE_12420_S2_10m_256.nc,SE,4775,11049,54487
AT_6145_S2_10m_256.nc,AT,11984,13282,52254
FR_45231_S2_10m_256.nc,FR,6204,15370,50166
SE_11627_S2_10m_256.nc,SE,15587,22928,42608
SE_17338_S2_10m_256.nc,SE,27037,48569,16967
AT_9586_S2_10m_256.nc,AT,30396,48814,16722
SE_33609_S2_10m_256.nc,SE,6505,11801,53735
SE_22036_S2_10m_256.nc,SE,8479,22530,43006
ES_311_S2_10m_256.nc,ES,22199,34595,30941
FR_43672_S2_10m_256.nc,FR,1518,42054,23482
AT_5599_S2_10m_256.nc,AT,26785,48191,17345
FR_59176_S2_10m_256.nc,FR,1271,46011,19525
SE_28993_S2_10m_256.nc,SE,12899,21786,43750
AT_6758_S2_10m_256.nc,AT,3567,14307,51229
AT_8778_S2_10m_256.nc,AT,16837,29060,36476
ES_188_S2_10m_256.nc,ES,17033,58963,6573
ES_3517_S2_10m_256.nc,ES,19417,33720,31816
FR_38014_S2_10m_256.nc,FR,2398,3805,61731
AT_9570_S2_10m_256.nc,AT,17253,28868,36668
SE_17339_S2_10m_256.nc,SE,20594,30986,34550
AT_1876_S2_10m_256.nc,AT,1435,2320,63216
AT_1861_S2_10m_256.nc,AT,0,0,65536
SI_2456_S2_10m_256.nc,SI,23071,33994,31542
FR_58968_S2_10m_256.nc,FR,1413,1143,64393
FR_57234_S2_10m_256.nc,FR,4023,4748,60788
NL_1964_S2_10m_256.nc,NL,49227,52432,13104
AT_6176_S2_10m_256.nc,AT,2433,18499,47037
FR_38427_S2_10m_256.nc,FR,23870,36095,29441
SE_8898_S2_10m_256.nc,SE,18402,36304,29232
FR_54197_S2_10m_256.nc,FR,1643,18959,46577
FR_40663_S2_10m_256.nc,FR,15271,41518,24018
FR_38557_S2_10m_256.nc,FR,10217,19997,45539
FR_20543_S2_10m_256.nc,FR,10711,18780,46756
AT_9809_S2_10m_256.nc,AT,31159,43760,21776
AT_6663_S2_10m_256.nc,AT,14951,23436,42100
FR_39860_S2_10m_256.nc,FR,21570,32910,32626
FR_44551_S2_10m_256.nc,FR,11815,15091,50445
ES_1134_S2_10m_256.nc,ES,9910,11874,53662
ES_3027_S2_10m_256.nc,ES,1575,2515,63021
SE_22400_S2_10m_256.nc,SE,16189,21162,44374
AT_8261_S2_10m_256.nc,AT,22739,41141,24395
FR_62019_S2_10m_256.nc,FR,2580,3586,61950
NL_2189_S2_10m_256.nc,NL,46465,54871,10665
FR_48259_S2_10m_256.nc,FR,12160,40288,25248
FR_53448_S2_10m_256.nc,FR,14872,39154,26382
AT_6193_S2_10m_256.nc,AT,22970,52069,13467
FR_23354_S2_10m_256.nc,FR,16885,46297,19239
FR_56967_S2_10m_256.nc,FR,7147,26243,39293
FR_45425_S2_10m_256.nc,FR,20934,47517,18019
NL_1576_S2_10m_256.nc,NL,9762,9142,56394
FR_31697_S2_10m_256.nc,FR,2642,7255,58281
FR_58984_S2_10m_256.nc,FR,7045,13957,51579
FR_16679_S2_10m_256.nc,FR,1833,5375,60161
FR_19138_S2_10m_256.nc,FR,418,738,64798
FR_23538_S2_10m_256.nc,FR,21260,51266,14270
AT_1864_S2_10m_256.nc,AT,8269,20595,44941
AT_6903_S2_10m_256.nc,AT,4092,8027,57509
FR_29696_S2_10m_256.nc,FR,18929,40598,24938
NL_3751_S2_10m_256.nc,NL,33157,53813,11723
ES_766_S2_10m_256.nc,ES,15943,62502,3034
AT_5723_S2_10m_256.nc,AT,6392,13471,52065
AT_7047_S2_10m_256.nc,AT,2428,14199,51337
AT_6760_S2_10m_256.nc,AT,6527,12066,53470
NL_1106_S2_10m_256.nc,NL,12401,29190,36346
SE_30121_S2_10m_256.nc,SE,16333,48184,17352
FR_43671_S2_10m_256.nc,FR,1398,9783,55753
FR_59175_S2_10m_256.nc,FR,212,930,64606
FR_49483_S2_10m_256.nc,FR,1460,13914,51622
FR_50360_S2_10m_256.nc,FR,21573,49147,16389
SI_463_S2_10m_256.nc,SI,16390,16683,48853
AT_831_S2_10m_256.nc,AT,9059,30129,35407
ES_392_S2_10m_256.nc,ES,22395,28008,37528
FR_55302_S2_10m_256.nc,FR,0,0,65536
SI_2186_S2_10m_256.nc,SI,25059,29962,35574
NL_2365_S2_10m_256.nc,NL,21275,38128,27408
FR_55311_S2_10m_256.nc,FR,1153,2652,62884
FR_29580_S2_10m_256.nc,FR,7246,48603,16933
SI_1921_S2_10m_256.nc,SI,28657,45898,19638
AT_7877_S2_10m_256.nc,AT,0,0,65536
ES_635_S2_10m_256.nc,ES,25890,46441,19095
FR_32104_S2_10m_256.nc,FR,26929,53782,11754
FR_34585_S2_10m_256.nc,FR,21670,47363,18173
NL_2524_S2_10m_256.nc,NL,13144,30629,34907
AT_6250_S2_10m_256.nc,AT,0,0,65536
FR_38189_S2_10m_256.nc,FR,24667,51038,14498
SE_31224_S2_10m_256.nc,SE,19032,47845,17691
SE_30068_S2_10m_256.nc,SE,7017,13411,52125
NL_3744_S2_10m_256.nc,NL,18722,30506,35030
SE_36316_S2_10m_256.nc,SE,16049,34781,30755
SI_772_S2_10m_256.nc,SI,4841,5335,60201
NL_4429_S2_10m_256.nc,NL,15652,23678,41858
FR_55326_S2_10m_256.nc,FR,10923,13918,51618
FR_27647_S2_10m_256.nc,FR,5133,56702,8834
AT_8799_S2_10m_256.nc,AT,36531,54578,10958
SE_31225_S2_10m_256.nc,SE,18055,33529,32007
FR_25030_S2_10m_256.nc,FR,17058,29566,35970
AT_6633_S2_10m_256.nc,AT,18961,41843,23693
AT_8742_S2_10m_256.nc,AT,31759,49330,16206
AT_1126_S2_10m_256.nc,AT,2075,7199,58337
SE_43964_S2_10m_256.nc,SE,7766,17747,47789
NL_4058_S2_10m_256.nc,NL,32042,43558,21978
NL_2558_S2_10m_256.nc,NL,15435,26654,38882
FR_19108_S2_10m_256.nc,FR,12506,30674,34862
NL_562_S2_10m_256.nc,NL,19672,50098,15438
SE_10468_S2_10m_256.nc,SE,18937,29506,36030
FR_24243_S2_10m_256.nc,FR,11905,36979,28557
AT_8427_S2_10m_256.nc,AT,15600,26308,39228
ES_1677_S2_10m_256.nc,ES,29222,37949,27587
AT_9760_S2_10m_256.nc,AT,30687,42103,23433
NL_2292_S2_10m_256.nc,NL,20664,53689,11847
FR_47663_S2_10m_256.nc,FR,16252,36623,28913
SE_27367_S2_10m_256.nc,SE,8675,8682,56854
ES_326_S2_10m_256.nc,ES,19346,18717,46819
SE_27029_S2_10m_256.nc,SE,20714,37249,28287
AT_10115_S2_10m_256.nc,AT,5613,6916,58620
FR_56916_S2_10m_256.nc,FR,1382,2696,62840
SE_29732_S2_10m_256.nc,SE,10349,13449,52087
AT_7210_S2_10m_256.nc,AT,1760,10854,54682
AT_9221_S2_10m_256.nc,AT,18160,20219,45317
AT_6965_S2_10m_256.nc,AT,6336,8699,56837
SE_10424_S2_10m_256.nc,SE,24612,53026,12510
FR_43120_S2_10m_256.nc,FR,4416,12536,53000
FR_39972_S2_10m_256.nc,FR,0,0,65536
ES_199_S2_10m_256.nc,ES,35314,35088,30448
SE_10480_S2_10m_256.nc,SE,14672,30052,35484
FR_20535_S2_10m_256.nc,FR,17501,21800,43736
AT_1640_S2_10m_256.nc,AT,2911,21701,43835
AT_4174_S2_10m_256.nc,AT,1047,5133,60403
SI_761_S2_10m_256.nc,SI,0,0,65536
SE_27512_S2_10m_256.nc,SE,0,0,65536
NL_4683_S2_10m_256.nc,NL,16007,30469,35067
FR_35584_S2_10m_256.nc,FR,16639,52383,13153
FR_55643_S2_10m_256.nc,FR,14607,25916,39620
SE_39904_S2_10m_256.nc,SE,4575,6060,59476
AT_5524_S2_10m_256.nc,AT,25335,48325,17211
FR_48144_S2_10m_256.nc,FR,17169,28041,37495
AT_7664_S2_10m_256.nc,AT,8394,10913,54623
FR_62847_S2_10m_256.nc,FR,29908,42123,23413
AT_8563_S2_10m_256.nc,AT,16444,36445,29091
FR_68751_S2_10m_256.nc,FR,3128,14108,51428
ES_636_S2_10m_256.nc,ES,25184,51842,13694
AT_9876_S2_10m_256.nc,AT,27176,46879,18657
ES_1692_S2_10m_256.nc,ES,120,157,65379
SI_2197_S2_10m_256.nc,SI,32601,36224,29312
LU_98_S2_10m_256.nc,LU,14311,19807,45729
NL_3017_S2_10m_256.nc,NL,7067,11189,54347
FR_46489_S2_10m_256.nc,FR,29627,50493,15043
FR_53160_S2_10m_256.nc,FR,19936,48235,17301
NL_4457_S2_10m_256.nc,NL,12429,17107,48429
ES_335_S2_10m_256.nc,ES,20820,49253,16283
NL_4455_S2_10m_256.nc,NL,23889,28424,37112
AT_10336_S2_10m_256.nc,AT,40163,57193,8343
FR_50861_S2_10m_256.nc,FR,14740,34480,31056
NL_2221_S2_10m_256.nc,NL,21382,40502,25034
FR_55300_S2_10m_256.nc,FR,3936,12571,52965
FR_62577_S2_10m_256.nc,FR,15469,15085,50451
NL_4274_S2_10m_256.nc,NL,23405,51246,14290
AT_5407_S2_10m_256.nc,AT,6622,6484,59052
AT_1654_S2_10m_256.nc,AT,5074,15117,50419
ES_684_S2_10m_256.nc,ES,7729,8550,56986
SI_407_S2_10m_256.nc,SI,22033,18962,46574
SE_14330_S2_10m_256.nc,SE,11994,26303,39233
AT_7784_S2_10m_256.nc,AT,6595,16167,49369
ES_444_S2_10m_256.nc,ES,19278,17832,47704
AT_8770_S2_10m_256.nc,AT,323,1066,64470
ES_1298_S2_10m_256.nc,ES,23754,29507,36029
ES_1009_S2_10m_256.nc,ES,27374,52484,13052
FR_37399_S2_10m_256.nc,FR,15096,28142,37394
AT_6315_S2_10m_256.nc,AT,3995,10473,55063
AT_6789_S2_10m_256.nc,AT,20047,31152,34384
ES_1437_S2_10m_256.nc,ES,37846,50842,14694
ES_2425_S2_10m_256.nc,ES,0,0,65536
FR_15942_S2_10m_256.nc,FR,14107,28696,36840
SI_1693_S2_10m_256.nc,SI,32729,33479,32057
AT_6902_S2_10m_256.nc,AT,8650,10362,55174
AT_3941_S2_10m_256.nc,AT,5379,44165,21371
AT_6472_S2_10m_256.nc,AT,4823,36458,29078
SI_1732_S2_10m_256.nc,SI,19304,15475,50061
SI_1787_S2_10m_256.nc,SI,22009,25759,39777
FR_42078_S2_10m_256.nc,FR,9594,14547,50989
NL_1182_S2_10m_256.nc,NL,2488,5874,59662
AT_4245_S2_10m_256.nc,AT,15191,25515,40021
FR_23651_S2_10m_256.nc,FR,14472,32090,33446
AT_10401_S2_10m_256.nc,AT,16729,42069,23467
SE_31787_S2_10m_256.nc,SE,0,0,65536
FR_24510_S2_10m_256.nc,FR,19042,50418,15118
SE_15020_S2_10m_256.nc,SE,9523,26854,38682
NL_1972_S2_10m_256.nc,NL,24672,34543,30993
ES_3265_S2_10m_256.nc,ES,1268,1183,64353
NL_3496_S2_10m_256.nc,NL,13614,24642,40894
SE_13946_S2_10m_256.nc,SE,14118,35962,29574
FR_47934_S2_10m_256.nc,FR,577,2534,63002
NL_4283_S2_10m_256.nc,NL,11034,21663,43873
AT_1578_S2_10m_256.nc,AT,3750,24169,41367
FR_39286_S2_10m_256.nc,FR,24594,47991,17545
ES_3085_S2_10m_256.nc,ES,168,194,65342
SE_44338_S2_10m_256.nc,SE,2206,2524,63012
FR_41563_S2_10m_256.nc,FR,15802,47664,17872
ES_1849_S2_10m_256.nc,ES,31151,48685,16851
FR_27727_S2_10m_256.nc,FR,18026,31009,34527
FR_58134_S2_10m_256.nc,FR,4606,5244,60292
SE_24758_S2_10m_256.nc,SE,9626,25163,40373
AT_5878_S2_10m_256.nc,AT,15790,24414,41122
AT_10042_S2_10m_256.nc,AT,25887,59099,6437
SE_14709_S2_10m_256.nc,SE,17375,33942,31594
SE_11661_S2_10m_256.nc,SE,4679,11251,54285
AT_5038_S2_10m_256.nc,AT,1446,6071,59465
AT_7279_S2_10m_256.nc,AT,1045,787,64749
SI_795_S2_10m_256.nc,SI,10597,5969,59567
FR_51670_S2_10m_256.nc,FR,332,1170,64366
AT_2018_S2_10m_256.nc,AT,4830,53818,11718
SE_32845_S2_10m_256.nc,SE,10064,34145,31391
FR_53650_S2_10m_256.nc,FR,342,1611,63925
NL_3553_S2_10m_256.nc,NL,9929,14597,50939
FR_53373_S2_10m_256.nc,FR,341,4283,61253
ES_3644_S2_10m_256.nc,ES,2206,2269,63267
AT_7058_S2_10m_256.nc,AT,2411,16016,49520
SI_814_S2_10m_256.nc,SI,20467,27193,38343
AT_7217_S2_10m_256.nc,AT,2085,2206,63330
FR_36865_S2_10m_256.nc,FR,6536,13960,51576
AT_8610_S2_10m_256.nc,AT,14201,17445,48091
FR_63411_S2_10m_256.nc,FR,27098,44143,21393
AT_8795_S2_10m_256.nc,AT,33135,50230,15306
FR_55407_S2_10m_256.nc,FR,7849,21930,43606
AT_7360_S2_10m_256.nc,AT,0,0,65536
NL_4499_S2_10m_256.nc,NL,21167,32480,33056
FR_58345_S2_10m_256.nc,FR,20283,17023,48513
FR_70951_S2_10m_256.nc,FR,371,283,65253
AT_3206_S2_10m_256.nc,AT,17111,23452,42084
AT_6523_S2_10m_256.nc,AT,7568,8706,56830
FR_44525_S2_10m_256.nc,FR,8825,10283,55253
SI_940_S2_10m_256.nc,SI,40010,43193,22343
FR_36214_S2_10m_256.nc,FR,19848,42183,23353
SI_1463_S2_10m_256.nc,SI,25017,28037,37499
FR_57629_S2_10m_256.nc,FR,7411,14454,51082
ES_373_S2_10m_256.nc,ES,6862,6147,59389
FR_38711_S2_10m_256.nc,FR,5121,8880,56656
SE_16953_S2_10m_256.nc,SE,20832,53034,12502
FR_29417_S2_10m_256.nc,FR,12864,26362,39174
SE_13174_S2_10m_256.nc,SE,15487,51433,14103
FR_58020_S2_10m_256.nc,FR,0,0,65536
AT_2989_S2_10m_256.nc,AT,4739,33929,31607
SE_42028_S2_10m_256.nc,SE,15023,39668,25868
FR_62031_S2_10m_256.nc,FR,8434,7798,57738
AT_6895_S2_10m_256.nc,AT,14479,24812,40724
NL_3061_S2_10m_256.nc,NL,2789,5631,59905
AT_8014_S2_10m_256.nc,AT,1798,2086,63450
AT_3786_S2_10m_256.nc,AT,2502,10763,54773
AT_9602_S2_10m_256.nc,AT,25546,47626,17910
SE_54593_S2_10m_256.nc,SE,1366,1136,64400
ES_2155_S2_10m_256.nc,ES,3166,3903,61633
AT_2383_S2_10m_256.nc,AT,7866,17897,47639
SE_12431_S2_10m_256.nc,SE,6566,11480,54056
FR_28802_S2_10m_256.nc,FR,18484,22618,42918
AT_7781_S2_10m_256.nc,AT,2845,5711,59825
SE_19704_S2_10m_256.nc,SE,15199,24412,41124
NL_799_S2_10m_256.nc,NL,15380,40320,25216
AT_6917_S2_10m_256.nc,AT,2823,5879,59657
FR_49578_S2_10m_256.nc,FR,5729,9233,56303
SE_8562_S2_10m_256.nc,SE,2498,4236,61300
FR_2149_S2_10m_256.nc,FR,17670,27384,38152
AT_5724_S2_10m_256.nc,AT,17241,26933,38603
AT_7951_S2_10m_256.nc,AT,1936,16734,48802
ES_828_S2_10m_256.nc,ES,24322,36302,29234
AT_6991_S2_10m_256.nc,AT,2193,6240,59296
NL_2990_S2_10m_256.nc,NL,13193,18150,47386
NL_1022_S2_10m_256.nc,NL,2861,4634,60902
FR_29766_S2_10m_256.nc,FR,2975,7315,58221
FR_19395_S2_10m_256.nc,FR,26056,51585,13951
ES_882_S2_10m_256.nc,ES,32321,51013,14523
AT_6781_S2_10m_256.nc,AT,17220,49980,15556
AT_5339_S2_10m_256.nc,AT,10291,12020,53516
SI_1037_S2_10m_256.nc,SI,6646,8416,57120
SE_9331_S2_10m_256.nc,SE,4970,8161,57375
SE_14325_S2_10m_256.nc,SE,25579,38810,26726
SI_851_S2_10m_256.nc,SI,32216,37814,27722
SE_12411_S2_10m_256.nc,SE,12642,26783,38753
AT_8189_S2_10m_256.nc,AT,24134,51022,14514
AT_6601_S2_10m_256.nc,AT,10858,13593,51943
FR_36490_S2_10m_256.nc,FR,27529,46926,18610
ES_2604_S2_10m_256.nc,ES,0,0,65536
AT_4157_S2_10m_256.nc,AT,5452,46097,19439
AT_6817_S2_10m_256.nc,AT,14914,23983,41553
AT_7069_S2_10m_256.nc,AT,7624,8866,56670
SE_17420_S2_10m_256.nc,SE,21619,44456,21080
FR_49641_S2_10m_256.nc,FR,0,0,65536
AT_7720_S2_10m_256.nc,AT,0,0,65536
AT_5122_S2_10m_256.nc,AT,1539,7141,58395
AT_5336_S2_10m_256.nc,AT,11014,18940,46596
AT_7782_S2_10m_256.nc,AT,4876,14017,51519
AT_6978_S2_10m_256.nc,AT,18460,28438,37098
AT_4892_S2_10m_256.nc,AT,14276,13993,51543
ES_3821_S2_10m_256.nc,ES,21675,42290,23246
SE_11566_S2_10m_256.nc,SE,14242,58565,6971
ES_3885_S2_10m_256.nc,ES,20798,34091,31445
ES_701_S2_10m_256.nc,ES,25828,41293,24243
NL_3259_S2_10m_256.nc,NL,17380,34851,30685
ES_1299_S2_10m_256.nc,ES,27323,39420,26116
SE_44335_S2_10m_256.nc,SE,22163,50252,15284
AT_1273_S2_10m_256.nc,AT,2124,12025,53511
FR_27921_S2_10m_256.nc,FR,4096,61026,4510
FR_43140_S2_10m_256.nc,FR,138,65,65471
FR_15544_S2_10m_256.nc,FR,1115,2298,63238
SE_3542_S2_10m_256.nc,SE,25662,38591,26945
AT_7735_S2_10m_256.nc,AT,1951,15132,50404
FR_21655_S2_10m_256.nc,FR,23968,53517,12019
NL_2870_S2_10m_256.nc,NL,12837,14976,50560
AT_6905_S2_10m_256.nc,AT,13654,17669,47867
SE_30219_S2_10m_256.nc,SE,7998,9615,55921
AT_5855_S2_10m_256.nc,AT,3771,28204,37332
SE_15493_S2_10m_256.nc,SE,2906,3745,61791
FR_45718_S2_10m_256.nc,FR,6935,15355,50181
AT_9495_S2_10m_256.nc,AT,21793,48848,16688
SI_556_S2_10m_256.nc,SI,6266,6249,59287
AT_686_S2_10m_256.nc,AT,6331,27857,37679
AT_8306_S2_10m_256.nc,AT,7167,8361,57175
NL_3575_S2_10m_256.nc,NL,10523,14484,51052
FR_53100_S2_10m_256.nc,FR,9246,11564,53972
NL_3065_S2_10m_256.nc,NL,23473,46018,19518
SE_34403_S2_10m_256.nc,SE,5176,7726,57810
AT_8262_S2_10m_256.nc,AT,21831,30411,35125
FR_54474_S2_10m_256.nc,FR,1915,7807,57729
NL_4988_S2_10m_256.nc,NL,17471,40465,25071
ES_1086_S2_10m_256.nc,ES,0,0,65536
FR_44822_S2_10m_256.nc,FR,18032,25392,40144
SE_20088_S2_10m_256.nc,SE,17024,19862,45674
SE_22781_S2_10m_256.nc,SE,0,0,65536
FR_26330_S2_10m_256.nc,FR,6659,6364,59172
FR_55419_S2_10m_256.nc,FR,8606,21069,44467
FR_21384_S2_10m_256.nc,FR,21911,40890,24646
NL_4530_S2_10m_256.nc,NL,21687,41553,23983
NL_2483_S2_10m_256.nc,NL,16445,28844,36692
AT_3356_S2_10m_256.nc,AT,8456,14972,50564
FR_43693_S2_10m_256.nc,FR,1116,2778,62758
AT_3358_S2_10m_256.nc,AT,5256,16658,48878
SI_1416_S2_10m_256.nc,SI,0,0,65536
SE_24415_S2_10m_256.nc,SE,0,0,65536
AT_4908_S2_10m_256.nc,AT,6767,12216,53320
SE_15092_S2_10m_256.nc,SE,19786,55908,9628
FR_20360_S2_10m_256.nc,FR,24680,55101,10435
NL_2573_S2_10m_256.nc,NL,21357,41906,23630
AT_7885_S2_10m_256.nc,AT,0,0,65536
NL_4436_S2_10m_256.nc,NL,26025,49544,15992
AT_9440_S2_10m_256.nc,AT,34101,59729,5807
AT_4891_S2_10m_256.nc,AT,2739,3547,61989
FR_36830_S2_10m_256.nc,FR,5686,44678,20858
FR_21371_S2_10m_256.nc,FR,5052,12045,53491
FR_34559_S2_10m_256.nc,FR,26539,44564,20972
NL_2945_S2_10m_256.nc,NL,7173,10714,54822
FR_35462_S2_10m_256.nc,FR,25796,38181,27355
NL_2507_S2_10m_256.nc,NL,9352,11313,54223
AT_7463_S2_10m_256.nc,AT,31425,37801,27735
SE_12433_S2_10m_256.nc,SE,11194,47029,18507
AT_9356_S2_10m_256.nc,AT,21552,33734,31802
AT_166_S2_10m_256.nc,AT,4659,22360,43176
FR_55594_S2_10m_256.nc,FR,10954,19459,46077
AT_5200_S2_10m_256.nc,AT,4082,13511,52025
ES_827_S2_10m_256.nc,ES,26769,50763,14773
SE_27420_S2_10m_256.nc,SE,17500,30224,35312
SI_1341_S2_10m_256.nc,SI,12422,11789,53747
FR_43728_S2_10m_256.nc,FR,21215,29619,35917
SE_15407_S2_10m_256.nc,SE,2418,3583,61953
FR_58070_S2_10m_256.nc,FR,41,29,65507
SE_30504_S2_10m_256.nc,SE,16409,31075,34461
AT_4535_S2_10m_256.nc,AT,5262,40533,25003
NL_2586_S2_10m_256.nc,NL,1750,2312,63224
NL_1499_S2_10m_256.nc,NL,10090,11506,54030
NL_1888_S2_10m_256.nc,NL,25410,36456,29080
AT_7433_S2_10m_256.nc,AT,357,580,64956
FR_49019_S2_10m_256.nc,FR,2364,9035,56501
FR_19950_S2_10m_256.nc,FR,22933,46581,18955
FR_71776_S2_10m_256.nc,FR,1416,4625,60911
NL_2888_S2_10m_256.nc,NL,21369,34435,31101
NL_2521_S2_10m_256.nc,NL,14133,39419,26117
AT_10186_S2_10m_256.nc,AT,30551,58572,6964
SE_19726_S2_10m_256.nc,SE,4111,6581,58955
AT_7950_S2_10m_256.nc,AT,15268,21185,44351
SE_23559_S2_10m_256.nc,SE,11370,15403,50133
FR_52220_S2_10m_256.nc,FR,1429,2989,62547
FR_15819_S2_10m_256.nc,FR,6044,13339,52197
NL_4832_S2_10m_256.nc,NL,7485,22626,42910
SE_30544_S2_10m_256.nc,SE,17771,46245,19291
FR_37608_S2_10m_256.nc,FR,11158,26203,39333
FR_22037_S2_10m_256.nc,FR,19580,43306,22230
AT_8002_S2_10m_256.nc,AT,18292,20527,45009
AT_7580_S2_10m_256.nc,AT,2490,21998,43538
FR_7940_S2_10m_256.nc,FR,13050,22180,43356
AT_3498_S2_10m_256.nc,AT,10083,21900,43636
SE_33634_S2_10m_256.nc,SE,17281,24807,40729
FR_30251_S2_10m_256.nc,FR,15918,52294,13242
SE_26318_S2_10m_256.nc,SE,14547,27186,38350
AT_7461_S2_10m_256.nc,AT,30642,35437,30099
AT_7644_S2_10m_256.nc,AT,1581,11413,54123
FR_18058_S2_10m_256.nc,FR,18108,30501,35035
FR_36595_S2_10m_256.nc,FR,6349,30714,34822
FR_18322_S2_10m_256.nc,FR,3290,5438,60098
FR_18822_S2_10m_256.nc,FR,1639,17900,47636
FR_20910_S2_10m_256.nc,FR,25096,59613,5923
AT_6828_S2_10m_256.nc,AT,20839,30685,34851
AT_6612_S2_10m_256.nc,AT,3935,34970,30566
FR_58628_S2_10m_256.nc,FR,799,6588,58948
SI_149_S2_10m_256.nc,SI,3543,2607,62929
NL_2811_S2_10m_256.nc,NL,0,0,65536
FR_16675_S2_10m_256.nc,FR,660,881,64655
SI_988_S2_10m_256.nc,SI,24973,39066,26470
SE_27065_S2_10m_256.nc,SE,15376,33988,31548
SI_443_S2_10m_256.nc,SI,19665,31672,33864
AT_7975_S2_10m_256.nc,AT,29435,34569,30967
AT_2839_S2_10m_256.nc,AT,6320,24916,40620
FR_56743_S2_10m_256.nc,FR,12048,23793,41743
SE_5098_S2_10m_256.nc,SE,16692,21084,44452
NL_1728_S2_10m_256.nc,NL,0,0,65536
FR_54184_S2_10m_256.nc,FR,22075,35631,29905
FR_47631_S2_10m_256.nc,FR,18689,44680,20856
ES_2358_S2_10m_256.nc,ES,0,0,65536
AT_6187_S2_10m_256.nc,AT,23686,53263,12273
NL_638_S2_10m_256.nc,NL,20447,44085,21451
NL_2680_S2_10m_256.nc,NL,0,0,65536
AT_7419_S2_10m_256.nc,AT,1854,10764,54772
FR_21919_S2_10m_256.nc,FR,6413,11451,54085
ES_376_S2_10m_256.nc,ES,16292,15409,50127
AT_8502_S2_10m_256.nc,AT,19698,41932,23604
FR_54725_S2_10m_256.nc,FR,1748,2871,62665
SE_28598_S2_10m_256.nc,SE,0,0,65536
SE_24368_S2_10m_256.nc,SE,7823,12507,53029
SE_34021_S2_10m_256.nc,SE,11933,21999,43537
AT_7734_S2_10m_256.nc,AT,0,0,65536
AT_7931_S2_10m_256.nc,AT,10583,14553,50983
AT_9162_S2_10m_256.nc,AT,29683,54144,11392
SE_19364_S2_10m_256.nc,SE,6202,9011,56525
AT_3575_S2_10m_256.nc,AT,2609,11871,53665
FR_44380_S2_10m_256.nc,FR,15216,46421,19115
FR_51966_S2_10m_256.nc,FR,4462,20156,45380
FR_61063_S2_10m_256.nc,FR,0,0,65536
